,title,production_company_name
0,Harry Potter and the Chamber of Secrets,1492 Pictures
1,The Lord of the Rings: The Two Towers,WingNut Films
2,Men in Black II,Columbia Pictures
3,Catch Me If You Can,Kemp Company
4,Spider-Man,Columbia Pictures
5,Ice Age,Twentieth Century Fox Film Corporation
6,The Scorpion King,Universal Pictures
7,The Bourne Identity,Universal Pictures
8,Minority Report,DreamWorks SKG
9,Die Another Day,Eon Productions
10,Scooby-Doo,Atlas Entertainment
11,The Transporter,TF1 Films Productions
12,Resident Evil,Impact Pictures
13,Lilo & Stitch,Walt Disney Pictures
14,28 Days Later,DNA Films
15,Spirit: Stallion of the Cimarron,DreamWorks SKG
16,Blade II,New Line Cinema
17,Undisputed,Miramax Films
18,Panic Room,Hofflund/Polone
19,The Pianist,Bac Films
20,Treasure Planet,Walt Disney Pictures
21,City of God,O2 Filmes
22,Signs,"Kennedy/Marshall Company, The"
23,Star Wars: Episode II - Attack of the Clones,Lucasfilm
24,xXx,Columbia Pictures
25,Gangs of New York,Miramax Films
26,Phone Booth,Fox 2000 Pictures
27,We Were Soldiers,Icon Entertainment International
28,25th Hour,40 Acres & A Mule Filmworks
29,Hero,Beijing New Picture Film Co. Ltd.
30,8 Mile,Imagine Entertainment
31,The Time Machine,DreamWorks SKG
32,Austin Powers in Goldmember,New Line Cinema
33,Equilibrium,Dimension Films
34,Spy Kids 2: The Island of Lost Dreams,Dimension Films
35,Adaptation.,Beverly Detroit
36,My Big Fat Greek Wedding,Home Box Office (HBO)
37,Chicago,Miramax Films
38,Sweet Home Alabama,Touchstone Pictures
39,A Walk to Remember,DiNovi Pictures
40,Windtalkers,Lion Rock Productions
41,Bend It Like Beckham,Fox Searchlight Pictures
42,Friday After Next,New Line Cinema
43,Queen of the Damned,Village Roadshow Pictures
44,I Spy,Columbia Pictures Corporation
45,Halloween: Resurrection,Dimension Films
46,Insomnia,Section Eight
47,Irreversible,Eskwad
48,Mr. Deeds,New Line Cinema
49,Unfaithful,Regency Enterprises
50,Confessions of a Dangerous Mind,Miramax Films
51,The Hours,Paramount Pictures
52,Ghost Ship,Village Roadshow Pictures
53,The Sum of All Fears,Paramount Pictures
54,Return to Never Land,Walt Disney Pictures
55,Frida,Miramax Films
56,Reign of Fire,The Zanuck Company
57,Bad Company,Jerry Bruckheimer Films
58,The Count of Monte Cristo,Spyglass Entertainment
59,The Santa Clause 2,Walt Disney Pictures
60,Two Weeks Notice,Village Roadshow Pictures
61,Jackass: The Movie,Paramount Pictures
62,Maid in Manhattan,Red Om Films
63,Road to Perdition,DreamWorks SKG
64,Star Trek: Nemesis,Paramount Pictures
65,Stuart Little 2,Columbia Pictures
66,The Rookie,Walt Disney Pictures
67,Changing Lanes,Paramount Pictures
68,Hart's War,David Foster Productions
69,About Schmidt,New Line Cinema
70,Barbershop,Metro-Goldwyn-Mayer (MGM)
71,Murder by Numbers,Castle Rock Entertainment
72,K-19: The Widowmaker,Paramount Pictures
73,Boat Trip,Motion Picture Corporation of America
74,Secretary,Slough Pond
75,Femme Fatale,Epsilon Motion Pictures
76,Serving Sara,Paramount Pictures
77,The Four Feathers,Paramount Pictures
78,D-Tox,Universal Pictures
79,The Spanish Apartment,Mate Producciones S.A.
80,Punch-Drunk Love,Columbia Pictures
81,Dragonfly,Universal Pictures
82,40 Days and 40 Nights,Miramax Films
83,The Sweetest Thing,Konrad Pictures
84,One Hour Photo,Fox Searchlight Pictures
85,About a Boy,Universal Pictures
86,High Crimes,Twentieth Century Fox Film Corporation
87,Collateral Damage,David Foster Productions
88,Enough,Winkler Films
89,Analyze That,Village Roadshow Pictures
90,Eight Legged Freaks,Village Roadshow Pictures
91,The Quiet American,Miramax Films
92,The Adventures of Pluto Nash,Village Roadshow Pictures
93,Dark Blue,United Artists
94,Solaris,Mosfilm
95,The Tuxedo,DreamWorks SKG
96,Rabbit-Proof Fence,Showtime Australia
97,Blood Work,Malpaso Productions
98,The Mothman Prophecies,Lakeshore Entertainment
99,Narc,Paramount Pictures
100,Far from Heaven,Clear Blue Sky Productions
101,Ballistic: Ecks vs. Sever,Epsilon Motion Pictures
102,Darkness,Vía Digital
103,Swimfan,Twentieth Century Fox Film Corporation
104,The Importance of Being Earnest,Ealing Studios
105,City By The Sea,Warner Bros. Pictures
106,Crossroads,Paramount Pictures
107,Bowling for Columbine,Alliance Atlantis Communications
108,Big Fat Liar,Universal Pictures
109,The Eye,Paramount Vantage
110,Cypher,Miramax Films
111,Life or Something Like It,Regency Enterprises
112,The Master of Disguise,Columbia Pictures
113,Snow Dogs,Walt Disney Pictures
114,Drumline,Fox 2000 Pictures
115,The Rules of Attraction,Kingsgate Films
116,The Good Girl,Fox Searchlight Pictures
117,8 Women,France 2 Cinéma
118,Bubba Ho-tep,MGM
119,Spider,Téléfilm Canada
120,John Q,New Line Cinema
121,The New Guy,Revolution Studios
122,Rollerball,Atlas Entertainment
123,Big Trouble,Touchstone Pictures
124,Undercover Brother,Universal Pictures
125,May,A Loopy Production LLC
126,Dark Water,Vertigo Entertainment
127,Swept Away,Screen Gems
128,Kung Pow: Enter the Fist,Twentieth Century Fox Film Corporation
129,Like Mike,Twentieth Century Fox Film Corporation
130,Bloody Sunday,Portman Entertainment Group
131,FearDotCom,Milagro Films
132,Antwone Fisher,Fox Searchlight Pictures
133,Blue Crush,Imagine Entertainment
134,Dirty Pretty Things,Miramax Films
135,White Oleander,Pandora Filmproduktion
136,Amen.,Renn Productions
137,The Guru,Universal Pictures
138,Clockstoppers,Paramount Pictures
139,The Emperor's Club,Universal Pictures
140,Lilya 4-ever,Det Danske Filminstitut
141,Sorority Boys,Touchstone Pictures
142,Hollywood Ending,DreamWorks SKG
143,Igby Goes Down,United Artists
144,Spun,Muse Productions
145,Death to Smoochy,Senator Film Produktion
146,The Banger Sisters,Fox Searchlight Pictures
147,The Wild Thornberrys Movie,Paramount Pictures
148,Divine Secrets of the Ya-Ya Sisterhood,All Girl Productions
149,All About the Benjamins,New Line Cinema
150,Slackers,Sony Pictures
151,Gerry,Epsilon Motion Pictures
152,Moonlight Mile,Punch Productions
153,They,Dimension Films
154,Half Past Dead,Franchise Pictures
155,The Dangerous Lives of Altar Boys,Egg Pictures
156,Carrie,Screen Gems
157,Hey Arnold! The Movie,Paramount Pictures
158,Welcome to Collinwood,Section Eight
159,No Good Deed,Will Packer Productions
160,Ripley's Game,Mr. Mudd Production
161,Derailed,Miramax Films
162,Extreme Ops,Paramount Pictures
163,Nicholas Nickleby,United Artists Corporation
164,Auto Focus,Sony Pictures Classics
165,Pinocchio,RKO Radio Pictures
166,Tuck Everlasting,Walt Disney Pictures
167,Stealing Harvard,Columbia Pictures
168,Abandon,Paramount Pictures
169,The Country Bears,Walt Disney Pictures
171,Spellbound,Selznick International Pictures
172,The Crime of Padre Amaro,Instituto Mexicano de Cinematografía
173,Max,Sunswept Entertainment
174,Highway,Alex Entertainment Inc.
175,Full Frontal,Miramax Films
176,Morvern Callar,Company Pictures
177,Deuces Wild,United Artists
179,Poolhall Junkies,Gold Circle Films
180,All or Nothing,Les Films Alain Sarde
181,Red Dragon,Universal Pictures
182,The Crocodile Hunter: Collision Course,Cheyenne Enterprises
183,Mondays in the Sun,Vía Digital
185,Juwanna Mann,Warner Bros.
187,Alive,Paramount Pictures
191,New Year's Eve,New Line Cinema
192,Tadpole,IFC Productions
193,Tycoon,RKO Radio Pictures
194,Jonah: A VeggieTales Movie,Big Idea Productions
195,Ararat,Alliance Atlantis Communications
196,War,Mosaic Media Group
198,The Singles Ward,Halestorm entertainment
199,The Singles Ward,Halestorm entertainment
200,Addicted,Lionsgate
201,Three,X-Filme Creative Pool
202,Hostage,Miramax Films
205,Stranded,Enderby Entertainment
207,Dracula: Pages from a Virgin's Diary,Canadian Broadcasting Corporation (CBC)
209,Cinderella,Walt Disney Pictures
210,Contagion,Double Feature Films
211,Harry Potter and the Chamber of Secrets,Heyday films
212,The Lord of the Rings: The Two Towers,New Line Cinema
213,Men in Black II,Amblin Entertainment
214,Catch Me If You Can,Splendid Pictures
215,Spider-Man,Marvel Enterprises
216,Ice Age,Blue Sky Studios
217,The Scorpion King,Kalima Productions GmbH & Co. KG
218,The Bourne Identity,"Kennedy/Marshall Company, The"
