,title,revenue
0,Harry Potter and the Chamber of Secrets,876688482
1,The Lord of the Rings: The Two Towers,926287400
2,Men in Black II,441818803
3,Catch Me If You Can,352114312
4,Spider-Man,821708551
5,Ice Age,383257136
6,The Scorpion King,165333180
7,The Bourne Identity,214034224
8,Minority Report,358372926
9,Die Another Day,431971116
10,Scooby-Doo,275650703
11,The Transporter,43928932
12,Resident Evil,102984862
13,Lilo & Stitch,145771527
14,28 Days Later,82719885
15,Spirit: Stallion of the Cimarron,122563539
16,Blade II,155010032
17,Undisputed,12398628
18,Panic Room,196397415
19,The Pianist,120072577
20,Treasure Planet,109578115
21,City of God,30641770
22,Signs,408247917
23,Star Wars: Episode II - Attack of the Clones,649398328
24,xXx,277448382
25,Gangs of New York,193772504
26,Phone Booth,97837138
27,We Were Soldiers,114660784
28,25th Hour,13060843
29,Hero,177394432
30,8 Mile,215000000
31,The Time Machine,123729176
32,Austin Powers in Goldmember,296655431
33,Equilibrium,5359645
34,Spy Kids 2: The Island of Lost Dreams,119723358
35,Adaptation.,32801173
36,My Big Fat Greek Wedding,368744044
37,Chicago,306776732
38,Sweet Home Alabama,180622424
39,A Walk to Remember,41227069
40,Windtalkers,77628265
41,Bend It Like Beckham,76578641
42,Friday After Next,33526835
43,Queen of the Damned,45479110
44,I Spy,33561137
45,Halloween: Resurrection,37664855
46,Insomnia,113714830
47,Irreversible,792
48,Mr. Deeds,171269535
49,Unfaithful,119137784
50,Confessions of a Dangerous Mind,33013805
51,The Hours,41597830
52,Ghost Ship,68349884
53,The Sum of All Fears,193000000
54,Return to Never Land,109862682
55,Frida,56298474
56,Reign of Fire,43061982
57,Bad Company,65977295
58,The Count of Monte Cristo,75395048
59,The Santa Clause 2,172855065
60,Two Weeks Notice,93354918
61,Jackass: The Movie,64282312
62,Maid in Manhattan,154906693
63,Road to Perdition,181001478
64,Star Trek: Nemesis,67312826
65,Stuart Little 2,169956806
66,The Rookie,75597042
67,Changing Lanes,94935764
68,Hart's War,32287044
69,About Schmidt,105834556
70,Barbershop,75781642
71,Murder by Numbers,56714147
72,K-19: The Widowmaker,35168966
73,Boat Trip,8586376
74,Secretary,9304609
75,Femme Fatale,16838910
76,Serving Sara,16930185
77,The Four Feathers,29882645
78,D-Tox,6416302
79,The Spanish Apartment,3897799
80,Punch-Drunk Love,17000000
81,Dragonfly,52322400
82,40 Days and 40 Nights,0
83,The Sweetest Thing,68696770
84,One Hour Photo,52223306
85,About a Boy,129000000
86,High Crimes,63781810
87,Collateral Damage,78382433
88,Enough,51801187
89,Analyze That,55003135
90,Eight Legged Freaks,0
91,The Quiet American,27674124
92,The Adventures of Pluto Nash,7103973
93,Dark Blue,9237470
94,Solaris,0
95,The Tuxedo,0
96,Rabbit-Proof Fence,0
97,Blood Work,26199517
98,The Mothman Prophecies,55157539
99,Narc,12633747
100,Far from Heaven,29027914
101,Ballistic: Ecks vs. Sever,19924033
102,Darkness,0
103,Swimfan,34411240
104,The Importance of Being Earnest,0
105,City By The Sea,22433915
106,Crossroads,61141030
107,Bowling for Columbine,35564473
108,Big Fat Liar,52970014
109,The Eye,56309766
110,Cypher,0
111,Life or Something Like It,16872671
112,The Master of Disguise,0
113,Snow Dogs,0
114,Drumline,57588485
115,The Rules of Attraction,0
116,The Good Girl,16856124
117,8 Women,0
118,Bubba Ho-tep,0
119,Spider,0
120,John Q,102244770
121,The New Guy,0
122,Rollerball,0
123,Big Trouble,8493890
124,Undercover Brother,41604473
125,May,150277
126,Dark Water,25473093
127,Swept Away,598645
128,Kung Pow: Enter the Fist,0
129,Like Mike,0
130,Bloody Sunday,773228
131,FearDotCom,18902015
132,Antwone Fisher,23367586
133,Blue Crush,51842679
134,Dirty Pretty Things,0
135,White Oleander,0
136,Amen.,0
137,The Guru,0
138,Clockstoppers,38793283
139,The Emperor's Club,0
140,Lilya 4-ever,0
141,Sorority Boys,0
142,Hollywood Ending,0
143,Igby Goes Down,4777465
144,Spun,0
145,Death to Smoochy,0
146,The Banger Sisters,0
147,The Wild Thornberrys Movie,0
148,Divine Secrets of the Ya-Ya Sisterhood,0
149,All About the Benjamins,25482931
150,Slackers,6413915
151,Gerry,0
152,Moonlight Mile,10011050
153,They,0
154,Half Past Dead,0
155,The Dangerous Lives of Altar Boys,0
156,Carrie,82394288
157,Hey Arnold! The Movie,0
158,Welcome to Collinwood,0
159,No Good Deed,53830415
160,Ripley's Game,0
161,Derailed,57479076
162,Extreme Ops,10959475
163,Nicholas Nickleby,0
164,Auto Focus,2062066
165,Pinocchio,84300000
166,Tuck Everlasting,0
167,Stealing Harvard,0
168,Abandon,10719357
169,The Country Bears,0
170,People I Know,0
171,Spellbound,7000000
172,The Crime of Padre Amaro,0
173,Max,43967255
174,Highway,0
175,Full Frontal,2506446
176,Morvern Callar,0
177,Deuces Wild,0
178,Brown Sugar,27362712
179,Poolhall Junkies,0
180,All or Nothing,0
181,Red Dragon,209196298
182,The Crocodile Hunter: Collision Course,33082548
183,Mondays in the Sun,146402
184,Real Women Have Curves,0
185,Juwanna Mann,0
186,City of Ghosts,0
187,Alive,36733909
188,Better Luck Tomorrow,0
189,Blue Car,464000
190,Raising Victor Vargas,2816116
191,New Year's Eve,142044638
192,Tadpole,2891288
193,Tycoon,0
194,Jonah: A VeggieTales Movie,0
195,Ararat,0
196,War,40452643
197,Men with Brooms,4245870
198,The Singles Ward,0
199,The Singles Ward,0
200,Addicted,0
201,Three,2611555
202,Hostage,77944725
203,Sunshine State,0
204,Never Again,0
205,Stranded,0
206,The Slaughter Rule,0
207,Dracula: Pages from a Virgin's Diary,0
208,Stolen Summer,0
209,Cinderella,543514353
210,Contagion,137551594
